id,website_id,competitor_domain,competitor_name,is_active,analysis_frequency,last_analyzed_at,created_at,updated_at,analysis_status,analysis_started_at,analysis_completed_at,analysis_progress,last_error_message
081c5dae-6ce3-4b3e-9df6-5094aee4a64b,8d974e4b-8b22-4a77-bac9-299030c99de1,https://www.disneyplus.com,Disney+,true,weekly,2025-08-05 17:06:25.795+00,2025-08-05 17:06:24.150702+00,2025-08-12 14:14:10.494036+00,completed,,2025-08-05 17:06:25.795+00,0,
18545e18-2057-4cf7-8fe7-1f1255ab5eb0,a35e3d1e-07a4-4eb0-be65-a2caccf3f43d,https://asana.com,Asana,true,weekly,2025-08-15 11:53:23.984+00,2025-08-15 10:24:29.170563+00,2025-08-15 11:53:24.067884+00,completed,,,0,
3299c7c8-4ce7-4e7a-bb3e-7afa239190cd,879fe311-9642-42b9-b8a8-ab25c28cc9f9,https://www.canva.com/en_ph/,Canva,true,weekly,2025-08-26 09:35:35.537+00,2025-08-26 09:28:15.57794+00,2025-08-26 10:13:22.110925+00,completed,2025-08-26 09:35:35.33+00,2025-08-26 10:13:22.06+00,0,
392a282c-d2dc-4318-90bd-fc552884c4f4,be7ee060-51a5-4d06-a8ec-2da8faabc25f,https://www.acer.com,Acer,true,weekly,2025-08-08 21:38:14.635+00,2025-08-08 21:38:11.741768+00,2025-08-12 14:14:10.494036+00,completed,,2025-08-08 21:38:14.635+00,0,
3992643f-cecf-4aa0-9432-99a308db99db,010b9706-0173-460e-a691-cdb9481aaf0f,https://www.hilton.com,Hilton,true,weekly,2025-08-26 10:35:19.046+00,2025-08-26 10:35:15.415273+00,2025-08-26 13:20:52.761407+00,completed,2025-08-26 10:35:18.924+00,2025-08-26 13:20:52.705+00,0,
4598379e-942f-4203-9bcd-dad968f9767b,65b5aadd-1687-48d4-9e18-5029ba1a2b1f,https://ww.coffeemeetsbagel.com/,Coffee Meets Bagel,true,weekly,2025-08-25 18:50:05.329+00,2025-08-25 18:50:01.616026+00,2025-08-25 18:50:05.39897+00,pending,,,0,
5a265ece-f135-4eae-828a-28649b6f8318,cad190c5-78c9-4b96-8e13-56a23fea64b9,https://www.interactivebrokers.com,InteractiveBrokers,true,weekly,2025-08-26 07:51:41.623+00,2025-08-26 07:51:37.92038+00,2025-08-26 07:53:21.604642+00,completed,2025-08-26 07:51:41.526+00,2025-08-26 07:53:21.54+00,0,
64108adc-fe02-46ad-bbee-1ad407833f79,a35e3d1e-07a4-4eb0-be65-a2caccf3f43d,https://monday.com,Monday.com,true,weekly,2025-08-18 15:33:37.352+00,2025-08-18 15:33:32.756325+00,2025-08-18 15:33:37.474812+00,pending,,,0,
64bb8d43-2dd6-4ab9-b6f3-38643f154e02,07adfb0f-daf8-4b87-b9eb-8c70253bf6f7,https://frame.work/,Framework,true,weekly,2025-09-08 13:57:37.854+00,2025-09-08 13:57:34.822859+00,2025-09-08 13:59:27.017786+00,completed,2025-09-08 13:57:37.775+00,2025-09-08 13:59:26.97+00,0,
7a44b8f9-72bd-4c12-82ad-d2008c2b9928,91f0b17c-33a5-4026-8c78-ca4a95c916c1,https://www.progressive.com,Progressive,true,weekly,2025-08-25 18:57:24.645+00,2025-08-25 18:57:19.74436+00,2025-08-25 18:59:01.479573+00,completed,2025-08-25 18:57:24.422+00,2025-08-25 18:59:01.422+00,0,
